OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
680123,273581,SGL-925,5TH AVE S AND S CLOVERDALE ST,10/20/2025,GOOD
680125,273583,SGL-330,ROOSEVELT WAY NE AND NE 50TH ST,4/28/2025,GOOD
680127,273585,SGL-729,3RD AVE N AND ROY ST,2/10/2025,POOR
680128,273586,SGL-607,4TH AVE S AND S MICHIGAN ST,10/10/2025,POOR
680129,273587,SGL-290,14TH AVE NW AND NW MARKET ST,10/22/2025,FAIR
680136,273595,SGL-624,S COLUMBIAN WAY AND S SPOKANE ST,3/10/2025,GOOD
680144,273604,SGL-007,1ST AVE NE AND I5 NB 1ST AV NE OFF RP,2/24/2025,
680147,273606,SGL-602,1ST AVE S AND S LUCILE ST,10/10/2025,POOR
680161,273621,SGL-735,EAST MARGINAL WAY S AND XW ALASKA,10/10/2025,POOR
680171,273629,SGL-219,3RD AVE W AND W MERCER ST,10/20/2025,POOR
680172,273630,SGL-708,31ST AVE NE AND NE 75TH ST,10/31/2025,GOOD
680173,273631,SGL-859,FAIRVIEW AVE N AND HARRISON ST,10/30/2025,POOR
680174,273632,SGL-179,3RD AVE AND BROAD ST,10/15/2025,POOR
680182,273641,SGL-319,EASTLAKE AVE E AND FAIRVIEW AVE N,10/10/2025,POOR
680185,273644,SGL-743,AIRPORT NB WAY S AND S ROYAL BROUGHAM WAY,10/10/2025,POOR
680186,273645,SGL-740,OCCIDENTAL AVE S AND S ROYAL BROUGHAM WAY,10/10/2025,FAIR
680189,273648,SGL-570,AIRPORT WAY S AND SEATTLE BLVD S,10/10/2025,POOR
680192,273651,SGL-513,12TH AVE AND E JEFFERSON ST,10/10/2025,POOR
680198,273657,SGL-747,M L KING JR WAY S AND MOUNTAINS TO SOUND TRL,10/10/2025,POOR
680199,273658,SGL-410,LAKE CITY WAY NE AND NE 95TH ST,10/10/2025,FAIR
680203,273662,SGL-87,8TH AVE AND PINE ST,5/7/2025,GOOD
